                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.45781,                 0.7257,                0.50896,                0.96582,                0.81952,                0.84558,                0.88831,                0.72958,                0.82016,                0.84624,                0.88605,                0.70961,                0.70691,                 1.1399,                0.65037,                 1.2368,             0.00055849,             0.00055849,             0.00055849
                     24,                0.45847,                0.70036,                0.51247,                0.96573,                0.79594,                0.84784,                0.86315,                0.72417,                0.79843,                0.85049,                0.86535,                0.69488,                0.69097,                 1.1149,                 0.7365,                 1.2184,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.4563,                0.75519,                0.49959,                0.96439,                0.77055,                0.89464,                0.87394,                0.72709,                0.76708,                0.89463,                 0.8712,                0.70162,                0.69659,                 1.0876,                 0.6896,                 1.2191,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.4499,                0.71926,                0.50478,                0.95554,                0.78299,                0.87512,                0.88854,                 0.7434,                0.78062,                0.87247,                0.88305,                0.70734,                0.68243,                 1.1483,                0.69468,                 1.2178,             0.00053728,             0.00053728,             0.00053728
                     27,                0.43797,                0.69078,                 0.4803,                0.94195,                0.78133,                0.90457,                0.90369,                 0.7602,                0.78305,                0.90656,                0.90449,                0.74141,                0.68963,                 1.0797,                0.61614,                 1.2047,             0.00053022,             0.00053022,             0.00053022
                     28,                0.43761,                0.68734,                0.49085,                 0.9522,                0.83841,                0.81643,                0.89948,                0.76835,                0.84067,                0.81842,                0.89681,                 0.7361,                0.65888,                 1.1401,                 0.6273,                 1.1975,             0.00052315,             0.00052315,             0.00052315
                     29,                0.42844,                0.67108,                0.46074,                0.94309,                0.75991,                 0.8615,                0.86353,                0.72447,                0.76225,                0.86415,                0.86421,                0.70567,                0.64651,                 1.0672,                0.71695,                 1.1671,             0.00051608,             0.00051608,             0.00051608
                     30,                0.42267,                0.67488,                0.45941,                 0.9352,                0.81576,                0.84029,                0.87429,                0.73224,                 0.8164,                0.84095,                0.87308,                0.71918,                0.69338,                 1.0531,                0.66824,                 1.2169,             0.00050901,             0.00050901,             0.00050901
                     31,                0.42787,                0.66935,                0.46038,                0.93842,                0.74992,                0.87078,                0.85494,                0.70545,                0.74992,                0.87078,                0.85534,                0.69437,                0.69111,                 1.0802,                0.71595,                 1.2294,             0.00050194,             0.00050194,             0.00050194
                     32,                0.41403,                0.64086,                0.44948,                0.93056,                0.84574,                 0.7993,                0.89832,                0.76212,                0.84603,                0.80476,                0.89827,                0.74581,                0.65447,                 1.0628,                0.64009,                 1.1884,             0.00049487,             0.00049487,             0.00049487
                     33,                0.40757,                0.62483,                0.43232,                 0.9267,                0.83505,                0.86889,                0.90769,                0.77082,                0.83314,                 0.8669,                0.90364,                0.74937,                 0.6438,                 1.0798,                0.64747,                 1.1967,              0.0004878,              0.0004878,              0.0004878
